==================================================================
RAPPORT DES MAIRES SANS CORRESPONDANCE AVEC LES CIRCONSCRIPTIONS
==================================================================

Date: ven. 14 nov. 2025 17:13:07

Nombre total de maires dans le CSV: 29491
Nombre de maires insérés dans la base: 27660
Nombre de maires NON insérés: 1831

==================================================================
ANALYSE PAR RÉGION
==================================================================

Combinaisons Région-Département-Circonscription présentes dans le CSV mais ABSENTES de la table circonscriptions:

- Bourgogne-Franche-Comte | Dept: 89 (Yonne) | Circo: 3e circo | Maires concernés: 119
- Bretagne | Dept: 29 (Finistere) | Circo: 1ere circo | Maires concernés: 22
- Bretagne | Dept: 29 (Finistere) | Circo: 2e circo | Maires concernés: 61
- Bretagne | Dept: 29 (Finistere) | Circo: 3e circo | Maires concernés: 35
- Bretagne | Dept: 29 (Finistere) | Circo: 4e circo | Maires concernés: 44
- Bretagne | Dept: 29 (Finistere) | Circo: 5e circo | Maires concernés: 51
- Bretagne | Dept: 29 (Finistere) | Circo: 6e circo | Maires concernés: 32
- Bretagne | Dept: 29 (Finistere) | Circo: 7e circo | Maires concernés: 16
- Bretagne | Dept: 35 (Ille-et-Vilaine) | Circo:  | Maires concernés: 2
- Bretagne | Dept: 35 (Ille-et-Vilaine) | Circo: 1ere circo | Maires concernés: 34
- Bretagne | Dept: 35 (Ille-et-Vilaine) | Circo: 2e circo | Maires concernés: 62
- Bretagne | Dept: 35 (Ille-et-Vilaine) | Circo: 3e circo | Maires concernés: 60
- Bretagne | Dept: 35 (Ille-et-Vilaine) | Circo: 4e circo | Maires concernés: 47
- Bretagne | Dept: 35 (Ille-et-Vilaine) | Circo: 5e circo | Maires concernés: 30
- Bretagne | Dept: 35 (Ille-et-Vilaine) | Circo: 6e circo | Maires concernés: 6
- Bretagne | Dept: 35 (Ille-et-Vilaine) | Circo: 7e circo | Maires concernés: 46
- Bretagne | Dept: 56 (Morbihan) | Circo:  | Maires concernés: 4
- Bretagne | Dept: 56 (Morbihan) | Circo: 1ere circo | Maires concernés: 70
- Bretagne | Dept: 56 (Morbihan) | Circo: 2e circo | Maires concernés: 20
